,u,v,x,y,z
291,1037,1108,734240.0,4051678.25,2753.669677734375
292,700,1112,734165.6875,4051774.25,2736.991943359375
293,1178,1115,734288.375,4051637.5,2760.3828125
294,3773,1114,733708.875,4050795.0,2661.8095703125
295,1138,1126,734275.0,4051650.75,2753.38671875
296,4546,1127,733691.375,4050577.0,2659.853515625
297,2434,1132,733924.0625,4051147.75,2689.191162109375
298,3554,1132,733690.3125,4050862.0,2650.51416015625
299,1141,1145,734264.6875,4051646.5,2744.406494140625
300,593,1151,734147.5,4051802.75,2719.294189453125
301,222,1154,734058.25,4051882.0,2701.759765625
302,2953,1156,733704.9375,4051021.75,2641.823974609375
303,2232,1177,733909.125,4051209.25,2670.084228515625
304,240,1190,734044.6875,4051869.5,2684.76904296875
305,440,1193,734112.8125,4051839.25,2695.9345703125
306,4610,1206,733590.375,4050623.0,2619.326416015625
307,3258,1209,733662.625,4050949.25,2623.0888671875
308,645,1296,734064.6875,4051750.5,2653.967041015625
309,159,1341,733943.75,4051840.0,2623.125732421875
310,202,1344,733954.875,4051833.5,2624.52197265625
311,176,1353,733944.0625,4051833.75,2619.23193359375
312,484,1441,733967.25,4051758.5,2592.229248046875
313,510,1446,733956.125,4051744.0,2590.528564453125
314,911,1455,734017.0,4051644.75,2595.5888671875
315,572,1475,733944.0,4051720.5,2579.846923828125
316,586,1480,733939.1875,4051713.5,2578.5498046875
317,309,1487,733911.3125,4051780.0,2575.60107421875
318,394,1612,733832.6875,4051718.25,2533.705078125
319,523,1675,733840.0,4051685.5,2515.694580078125
320,338,1786,733744.75,4051688.0,2480.7109375
321,1757,1893,733395.9375,4051278.75,2455.47802734375
322,1754,2042,733348.5,4051271.5,2431.6396484375
323,4094,687,734001.75,4050552.75,2875.708984375
324,4112,692,734001.75,4050552.75,2875.708984375
327,2038,724,734485.3125,4051314.0,2979.908935546875
329,3415,824,733872.375,4050846.25,2781.83544921875
330,4367,834,733868.5625,4050527.0,2789.07958984375
331,4381,849,733856.0625,4050528.75,2780.890869140625
333,1666,851,734421.0625,4051469.25,2904.563720703125
334,4390,852,733856.0625,4050528.75,2780.890869140625
335,4426,854,733852.5625,4050518.25,2779.61474609375
337,276,860,734282.1875,4051977.5,2853.9052734375
338,288,864,734283.6875,4051974.5,2853.260498046875
339,314,872,734283.9375,4051968.0,2850.890869140625
342,322,884,734274.875,4051955.25,2842.938232421875
343,426,904,734292.625,4051926.25,2840.073486328125
344,3790,909,733827.0,4050741.5,2746.763427734375
345,334,932,734241.8125,4051937.75,2818.594482421875
346,4398,931,733805.125,4050554.75,2741.44384765625
347,575,938,734286.875,4051870.25,2827.223876953125
349,627,948,734289.25,4051851.75,2824.132080078125
352,861,959,734296.875,4051769.25,2822.886962890625
353,1376,959,734413.875,4051602.0,2848.919677734375
354,371,963,734230.625,4051919.5,2804.114501953125
356,251,969,734191.25,4051940.25,2793.1201171875
357,4319,971,733786.1875,4050591.0,2723.255615234375
358,937,980,734314.5,4051740.5,2817.84912109375
359,1299,980,734403.875,4051624.25,2840.37353515625
365,657,996,734251.0,4051823.75,2797.6201171875
366,690,996,734252.0625,4051812.75,2797.71142578125
367,991,1000,734323.125,4051724.75,2812.906982421875
368,4464,1001,733763.875,4050558.0,2710.77685546875
369,4754,1001,733769.625,4050457.0,2714.72265625
370,586,1005,734236.375,4051845.0,2790.199462890625
371,4565,1009,733759.25,4050529.0,2709.473388671875
373,681,1012,734235.4375,4051806.75,2786.06591796875
374,622,1022,734231.3125,4051829.0,2783.625732421875
375,4738,1033,733737.75,4050486.0,2697.700927734375
376,255,1035,734142.4375,4051915.0,2756.849365234375
377,508,1034,734211.5625,4051861.5,2774.64501953125
379,4866,1036,733746.8125,4050442.25,2701.124267578125
380,3239,1047,733727.3125,4050938.25,2678.632568359375
381,4475,1047,733741.0625,4050567.75,2692.89453125
382,4896,1053,733733.6875,4050437.75,2692.958740234375
383,4953,1053,733725.4375,4050426.75,2690.824951171875
384,3686,1056,733725.3125,4050812.5,2678.563720703125
385,3255,1061,733725.5,4050934.25,2674.529541015625
386,4510,1070,733724.3125,4050567.25,2682.45751953125
387,4961,1081,733703.375,4050441.25,2678.49853515625
388,424,1085,734173.625,4051873.5,2747.797119140625
389,4534,1084,733714.5,4050566.0,2676.501953125
390,644,1093,734184.0625,4051801.0,2747.8701171875
391,4510,1094,733713.0625,4050574.5,2673.72998046875
392,4625,1095,733703.1875,4050544.0,2670.939208984375
393,1038,1103,734242.9375,4051679.75,2756.4267578125
394,4535,1109,733699.75,4050574.5,2665.613525390625
395,4592,1125,733691.375,4050563.25,2661.86328125
396,2830,1128,733721.1875,4051049.25,2653.843994140625
397,556,1140,734153.125,4051818.5,2723.13671875
398,4865,1141,733616.8125,4050534.0,2642.932373046875
399,516,1143,734142.0,4051827.25,2720.8525390625
400,1161,1149,734263.625,4051638.75,2742.478271484375
401,3109,1150,733693.8125,4050981.0,2643.8125
402,218,1158,734053.8125,4051879.0,2695.017822265625
403,2252,1172,733910.6875,4051204.5,2672.489990234375
404,204,1179,734043.0,4051879.5,2688.93017578125
405,193,1181,734042.1875,4051881.75,2688.451904296875
406,537,1192,734121.0,4051809.75,2698.850341796875
407,4718,1196,733582.625,4050599.25,2621.667724609375
408,4611,1205,733591.1875,4050622.25,2620.16552734375
409,3261,1211,733660.75,4050948.75,2622.0498046875
410,781,1234,734110.375,4051724.0,2682.775390625
411,470,1256,734084.4375,4051815.25,2670.596923828125
412,200,1345,733954.3125,4051833.5,2623.8662109375
