"axis","n_bins","bin_mean_min","bin_mean_max","bin_mean_range","sd_of_bin_means","pixel_level_sd","sd_of_bin_means_cellweighted","variance_explained_by_bins"
"snow_mean (10 d bins)",11,-1.29439906469165,-0.326813888779565,0.967585175912085,0.322647762593696,0.6344478299746,0.309783453964818,0.238410074127106
"elevation (50 m bins)",13,-0.855796523788138,-0.534848113039799,0.320948410748339,0.0938978298004951,0.6344478299746,0.0864665817964446,0.0185739703922979
