"snow_mean_bin_doy","n_cells","trend_mean","trend_sd","trend_median","well_sampled"
"[100,110)",8,-5.95866626501083,0.222741551273178,-5.93856143951416,FALSE
"[110,120)",259,1.95679155009364,3.1849063181282,2.87712287902832,FALSE
"[120,130)",158834,-0.469977926348822,0.477285759199353,-0.468531459569931,TRUE
"[130,140)",118966,-0.649182823345511,0.625544691191612,-0.623376607894897,TRUE
"[140,150)",86913,-1.14092125280889,0.767952809494444,-1.13886117935181,TRUE
"[150,160)",73432,-1.29439906469165,0.696806493235624,-1.28471529483795,TRUE
"[160,170)",83280,-1.24697986021232,0.620315687102599,-1.23276722431183,TRUE
"[170,180)",103618,-0.723017290434065,0.669418139832222,-0.717282712459564,TRUE
"[180,190)",180487,-0.326813888779565,0.412022900164384,-0.281718283891678,TRUE
"[190,200)",205496,-0.513671812231142,0.394129480715678,-0.474525481462479,TRUE
"[200,210)",119866,-0.860238849793608,0.512677747180886,-0.806193828582764,TRUE
"[210,220)",51728,-0.917460734018758,0.601822325206752,-0.828171849250793,TRUE
"[220,230)",23086,-0.968768908392231,0.422838460583995,-0.961038947105408,TRUE
"[230,240]",90,-0.194338990913497,0.10978619766313,-0.129870131611824,FALSE
