"pair","n","spearman_rho","pearson_r","spearman_r2"
"trend ~ snow_mean",1206063,-0.00704117208719209,0.0148334996239421,4.9578104361453e-05
"trend ~ elevation",1206063,0.022375796269952,0.0411185257954022,0.000500676258714397
"snow_mean ~ elevation",1206063,-0.579157184690062,-0.594751952615342,0.335423044578118
