"x","fit","se"
-11.368631362915,2.08246858093436,2.84951028119384
-11.0877165553546,1.96609726955613,2.64944586794913
-10.8068017477941,1.84986197558781,2.45724987519409
-10.5258869402336,1.73395229655949,2.2749259513166
-10.2449721326732,1.61860620082331,2.10449050280703
-9.9640573251127,1.50415546301956,1.9477644030842
-9.68314251755223,1.39102879682731,1.80595771374546
-9.40222770999176,1.27976161115193,1.67931348729567
-9.1213129024313,1.17091789589569,1.56697497438882
-8.84039809487083,1.06502254513494,1.46730289130963
-8.55948328731036,0.962514251949506,1.37841966867689
-8.27856847974989,0.863723533575018,1.29864134922118
-7.99765367218942,0.76886410372304,1.22664127116939
-7.71673886462896,0.678053560266922,1.16127755245867
-7.43582405706849,0.591316213893503,1.10140033705134
-7.15490924950802,0.508561547722964,1.04582478956452
-6.87399444194755,0.429639183619433,0.993178465212915
-6.59307963438708,0.354404783481446,0.942073798548247
-6.31216482682662,0.282793648441778,0.891542654582763
-6.03125001926615,0.214912479112114,0.841352015390422
-5.75033521170568,0.151137264727265,0.792130111969474
-5.46942040414521,0.0921740842874617,0.745112603473624
-5.18850559658474,0.0390575231502835,0.701620289653022
-4.90759078902428,-0.00691122528907505,0.662602982774224
-4.62667598146381,-0.044288249116357,0.628522956086686
-4.34576117390334,-0.0716657526505131,0.599623671523479
-4.06484636634287,-0.0878889969262282,0.576331564581632
-3.7839315587824,-0.0922859152947212,0.559401516163496
-3.50301675122194,-0.0848781807558663,0.549582763608212
-3.22210194366147,-0.0665408089252653,0.546974072197953
-2.941187136101,-0.0390805440742734,0.550560580486636
-2.66027232854053,-0.00521132820437814,0.558339347645309
-2.37935752098007,0.0315826646571006,0.567970070954336
-2.0984427134196,0.067291126202195,0.577505827196614
-1.81752790585913,0.0977081188667784,0.585790265562944
-1.53661309829866,0.118814532561896,0.592395141453936
-1.25569829073819,0.127168195906263,0.597238357877639
-0.974783483177726,0.120253139996297,0.600150531562941
-0.693868675617257,0.0967419373910647,0.60063452715236
-0.412953868056789,0.0566341315165048,0.597921613504343
-0.132039060496322,0.00124855994970067,0.591267183166659
0.148875747064146,-0.0669340235621231,0.580363332241489
0.429790554624613,-0.144561752703284,0.565809875968386
0.710705362185083,-0.227801303369955,0.549702405910497
0.99162016974555,-0.312777813069913,0.5364093004969
1.27253497730602,-0.396008920993416,0.533294278660514
1.55344978486649,-0.474776954549106,0.55036839024605
1.83436459242695,-0.547391340886224,0.597532395658863
2.11527939998742,-0.613308243747154,0.680359944341574
2.39619420754789,-0.673094156566822,0.798298570627077
2.67710901510836,-0.728241906784013,0.946615084137066
2.95802382266883,-0.780868084948458,1.11929552572819
3.23893863022929,-0.833339468597508,1.31084492743078
3.51985343778976,-0.887892242505341,1.51699345164322
3.80076824535023,-0.946319142989814,1.73482502034431
4.0816830529107,-1.00977001114023,1.96258352256256
4.36259786047117,-1.07858807936813,2.19941091630299
4.64351266803163,-1.15250688995697,2.44480969267521
4.9244274755921,-1.23079049539273,2.69840477860861
5.20534228315257,-1.31247347997585,2.95978901536531
5.48625709071304,-1.39657001190424,3.2285532983267
5.76717189827351,-1.48218318829864,3.50427283699219
6.04808670583397,-1.56856662527742,3.7865631043465
6.32900151339444,-1.65509381059003,4.0751025727869
6.60991632095491,-1.74128538132098,4.36967954622928
6.89083112851538,-1.82668427896247,4.67013779005657
7.17174593607584,-1.91083344500671,4.97635953388003
7.45266074363631,-1.99329469573436,5.28827362485317
7.73357555119678,-2.07390827852945,5.60597755611447
8.01449035875725,-2.15272675423524,5.92970544050567
8.29540516631772,-2.22980802953206,6.25971223467607
8.57631997387819,-2.30521001110019,6.59625077292317
8.85723478143865,-2.37899060561992,6.93955735555801
9.13814958899912,-2.45120771977158,7.28984184021934
9.41906439655959,-2.52191926023545,7.64728105048523
9.69997920412005,-2.59118313369183,8.01201465090348
9.98089401168053,-2.65905724682103,8.38414286483446
10.261808819241,-2.72559950630333,8.76372556916139
10.5427236268015,-2.79086781881905,9.1507824119424
10.8236384343619,-2.85492009104846,9.54529368069257
11.1045532419224,-2.9178142296719,9.94720170993327
11.3854680494829,-2.97960814136965,10.3564126632102
11.6663828570433,-3.040359732822,10.7727985610464
11.9472976646038,-3.10012691070927,11.1961994549702
12.2282124721643,-3.15896758171173,11.6264256706616
12.5091272797247,-3.2169396525097,12.0632600616716
12.7900420872852,-3.27410102978348,12.5064602299845
13.0709568948457,-3.33050962021339,12.9557606816108
13.3518717024061,-3.38622333047967,13.4108748949276
13.6327865099666,-3.44130006726268,13.8714972870525
13.9137013175271,-3.49579773724269,14.337305069492
14.1946161250875,-3.54977424709999,14.8079599889215
14.475530932648,-3.60328750351491,15.2831099524851
14.7564457402085,-3.65639541316775,15.7623905396453
15.0373605477689,-3.70915588273879,16.2454264045353
15.3182753553294,-3.76162681890827,16.7318325741222
15.5991901628899,-3.81386612835662,17.2212156483851
15.8801049704504,-3.86593171776403,17.713174909267
16.1610197780108,-3.91788149381084,18.2073033454304
16.4419345855713,-3.9697733631774,18.7031885999268
