"n_years","last_year","slope_SE","min_detectable_slope","power_at_true_slope_0.71"
10,2021,0.674759784078025,1.5559988523534,0.154872292287295
11,2022,0.578504398341422,1.30866786841831,0.197825646046866
12,2023,0.506481109835506,1.12851023862162,0.248115920442593
13,2024,0.449987805359109,0.990416481817604,0.305620448430835
14,2025,0.404221796650561,0.880723636573379,0.369717955005913
15,2026,0.36626645849048,0.791270576836463,0.439204001421528
16,2027,0.334222857351621,0.716836735245609,0.512278581303729
17,2028,0.306787746355892,0.653902602553573,0.586629737763373
18,2029,0.283029235840637,0.599995176893108,0.659621275335274
