"rule","n_pixels","mean_slope","median_slope","pct_negative","pct_sig","landscape_slope","landscape_p"
"none (DOY 0 kept)",1206233,-0.918428077931676,-0.642357642346219,91.9644877896725,2.14684890895872,-0.918428077945347,0.20352942706082
"DOY > 0 (chosen)",1206063,-0.714634937479324,-0.626373626366163,91.6543331484342,1.96117449917625,-0.688466125503945,0.337433083610867
"DOY > 10",1206063,-0.714574798743779,-0.626373626366163,91.6559914365999,1.96075992713482,-0.688432119019344,0.337522036067802
"DOY > 120 (drop left-censored)",1095344,-0.731116529758072,-0.638297872340426,91.9498349376999,2.00585386873895,-0.67226084328356,0.34652401217371
