"scope","fold","n","gam_auc","gam_tss","gam_threshold","tidysdm_auc","tidysdm_tss","tidysdm_threshold","companion_n"
"fold",1,255533,0.952137825055993,0.781942532954734,0.00274709413645479,0.970065646526289,0.824771050654624,0.0145470525172684,33020
"fold",2,309386,0.893068378896368,0.64211618770444,0.00867130308291302,0.91360327885749,0.654144284271624,0.0153171040241683,40186
"fold",3,289384,0.95886227219122,0.811486813272257,0.00204778632264824,0.959259701378872,0.805884242309318,0.014038420255035,36868
"fold",4,343233,0.957008573097196,0.804543898646463,0.00324947515299973,0.961201790599516,0.802036985680593,0.014536822654876,44021
"mean",NA,1197536,0.940269262310194,0.760022358144473,NA,0.951032604340542,0.77170914072904,NA,154095
"pooled",NA,1197536,0.936531971215812,0.744594762905848,0.00388401465388879,0.948220950753227,0.760712893772894,0.0144949447735153,154095
