"dist12","p9_k3","p9_k5","p9_k10","p9_logdist","slope","elevation","TPI","twi","northness","eastness","snow_mean"
0,0.958787376380741,0.122513342568653,0.0111124467213955,0.288781547588255,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
5,0.944614406060805,0.0897997850819099,0.00712105297671758,0.00652351753146555,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
10,0.925944354232454,0.0651781625381574,0.00456074208302785,0.0026960101118607,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
15,0.901638713406447,0.0469745865043662,0.00292795653890641,0.00210410112481754,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
20,0.870479093487791,0.0336967987226928,0.00189203076547479,0.00197513216895665,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
25,0.831311706252642,0.0241083643483595,0.00123683696465704,0.00193528248369853,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
30,0.783279742069548,0.0172336469683465,0.000822549219054334,0.00188840568624397,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
35,0.72612854936055,0.0123285089942683,0.000559819628160164,0.00181046125061978,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
40,0.660516541278982,0.00883896420883322,0.000392231928198318,0.00170324414856505,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
45,0.588209191130706,0.00635976024138126,0.00028451080592695,0.00157689421646602,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
50,0.512019600945531,0.00459821872631322,0.000214752942382512,0.0014422938234662,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
55,0.435431732635929,0.00334492788159703,0.000169418859081009,0.00130815020765888,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
60,0.361989745065735,0.00245105517618559,0.00014017040702881,0.00118036073787794,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
65,0.294667352094979,0.00181131349119428,0.000121909787669376,0.00106234869792607,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
70,0.235442227546311,0.00135144204192833,0.000111583999509271,0.000955688559759624,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
75,0.185183296951598,0.0010191458335238,0.000107470123765746,0.000860713710990729,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
80,0.143807354201933,0.000777611780555262,0.000108761282813011,0.000776999639213342,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
85,0.110575048464855,0.000600907229642006,0.0001153412023362,0.000703708808494917,33.0288429260254,2635.30212402344,0.00878385873511434,5.09991812705994,0.300008654594421,-0.864440679550171,178.199996948242
