"predictor","slope","elevation","TPI","twi","northness","eastness","snow_mean"
"slope",1,0.554936416320919,-0.00430072980051433,-0.45882265089098,-0.291459296838104,-0.143036299086105,-0.551141941550088
"elevation",0.554936416320919,1,0.0443543298060795,-0.342983448422492,-0.191700267276871,-0.24526663962206,-0.579571751794992
"TPI",-0.00430072980051433,0.0443543298060795,1,-0.438279523841268,0.0119730825030507,0.0503238083562848,-0.333269764854212
"twi",-0.45882265089098,-0.342983448422492,-0.438279523841268,1,0.191276969541059,0.023777690922121,0.626244226544114
"northness",-0.291459296838104,-0.191700267276871,0.0119730825030507,0.191276969541059,1,0.482713253963511,0.271430062275968
"eastness",-0.143036299086105,-0.24526663962206,0.0503238083562848,0.023777690922121,0.482713253963511,1,0.12955802488252
"snow_mean",-0.551141941550088,-0.579571751794992,-0.333269764854212,0.626244226544114,0.271430062275968,0.12955802488252,1
