blind_id,blind_image,dist,m_per_px_horiz,m2_per_px,align_shift_px,quality_ok,verdict,confidence,notes
B001,blind/B001.png,260.555,0.068,nan,1.000,yes,,,
B002,blind/B002.png,859.253,0.224,0.125,0.000,yes,,,
B003,blind/B003.png,689.004,0.180,nan,0.000,yes,,,
B004,blind/B004.png,826.495,0.215,nan,1.000,yes,,,
B005,blind/B005.png,686.924,0.179,nan,0.000,yes,,,
B006,blind/B006.png,679.894,0.177,0.250,1.000,yes,,,
B007,blind/B007.png,735.222,0.192,nan,1.000,yes,,,
B008,blind/B008.png,593.651,0.155,nan,0.000,yes,,,
B009,blind/B009.png,897.082,0.234,0.250,0.000,yes,,,
B010,blind/B010.png,867.377,0.226,0.312,0.000,yes,,,
B011,blind/B011.png,509.666,0.133,0.125,0.000,yes,,,
B012,blind/B012.png,409.484,0.107,0.062,1.000,yes,,,
B013,blind/B013.png,482.256,0.126,nan,1.000,yes,,,
B014,blind/B014.png,202.056,0.053,nan,1.414,yes,,,
B015,blind/B015.png,548.674,0.143,nan,1.000,yes,,,
B016,blind/B016.png,639.779,0.167,nan,0.000,yes,,,
B017,blind/B017.png,751.473,0.196,0.312,0.000,yes,,,
B018,blind/B018.png,257.500,0.067,nan,1.000,yes,,,
B019,blind/B019.png,669.936,0.175,0.062,1.000,yes,,,
B020,blind/B020.png,606.276,0.158,nan,1.000,yes,,,
B021,blind/B021.png,536.180,0.140,nan,1.000,yes,,,
B022,blind/B022.png,413.277,0.108,0.125,1.414,yes,,,
B023,blind/B023.png,755.042,0.197,nan,1.414,yes,,,
B024,blind/B024.png,806.512,0.210,0.188,1.000,yes,,,
B025,blind/B025.png,391.497,0.102,nan,1.000,yes,,,
B026,blind/B026.png,793.179,0.207,nan,1.000,yes,,,
B027,blind/B027.png,492.495,0.128,0.062,0.000,yes,,,
B028,blind/B028.png,640.169,0.167,0.062,1.000,yes,,,
B029,blind/B029.png,399.825,0.104,0.062,1.000,yes,,,
B030,blind/B030.png,611.144,0.159,0.188,0.000,yes,,,
B031,blind/B031.png,739.104,0.193,nan,1.000,yes,,,
B032,blind/B032.png,625.675,0.163,0.312,1.414,yes,,,
B033,blind/B033.png,589.490,0.154,nan,1.000,yes,,,
B034,blind/B034.png,795.035,0.207,nan,0.000,yes,,,
B035,blind/B035.png,512.245,0.134,nan,1.000,yes,,,
B036,blind/B036.png,765.773,0.200,0.250,0.000,yes,,,
B037,blind/B037.png,829.098,0.216,nan,0.000,yes,,,
B038,blind/B038.png,688.471,0.179,0.375,1.000,yes,,,
B039,blind/B039.png,748.775,0.195,0.125,1.000,yes,,,
B040,blind/B040.png,620.449,0.162,nan,18.358,no,,,
B041,blind/B041.png,523.921,0.137,0.062,1.414,yes,,,
B042,blind/B042.png,818.323,0.213,0.312,1.000,yes,,,
B043,blind/B043.png,362.904,0.095,nan,0.000,yes,,,
B044,blind/B044.png,687.296,0.179,nan,1.000,yes,,,
B045,blind/B045.png,607.121,0.158,0.125,1.000,yes,,,
B046,blind/B046.png,544.733,0.142,0.188,1.000,yes,,,
B047,blind/B047.png,651.343,0.170,nan,1.000,yes,,,
B048,blind/B048.png,816.586,0.213,0.688,1.000,yes,,,
B049,blind/B049.png,810.078,0.211,0.312,1.000,yes,,,
B050,blind/B050.png,775.112,0.202,nan,1.000,yes,,,
B051,blind/B051.png,835.742,0.218,0.562,1.000,yes,,,
B052,blind/B052.png,107.091,0.028,nan,25.495,no,,,
B053,blind/B053.png,775.165,0.202,0.125,0.000,yes,,,
B054,blind/B054.png,921.303,0.240,0.312,0.000,yes,,,
B055,blind/B055.png,667.786,0.174,0.188,1.414,yes,,,
B056,blind/B056.png,434.357,0.113,nan,1.414,yes,,,
