source,destination,rmse,n_matches
data_source/source/2012/mrd_085_eos_vis_20120828_1100.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9059496197602792,3856
data_source/source/2012/mrd_085_eos_vis_20120901_1000.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9502881852756089,2088
data_source/source/2012/mrd_085_eos_vis_20120904_1700.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.024268110350129,4080
data_source/source/2012/mrd_085_eos_vis_20120911_1400.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9394305686103375,5465
data_source/source/2012/mrd_085_eos_vis_20120918_1300.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9335642254335403,5140
data_source/source/2012/mrd_085_eos_vis_20120922_0600.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.1127685863815728,111
data_source/source/2012/mrd_085_eos_vis_20120926_1200.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.3738881236962925,1099
data_source/source/2012/mrd_085_eos_vis_20120929_1500.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.8607352843978789,6393
data_source/source/2012/mrd_085_eos_vis_20121002_0700.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.0932966681641278,1532
data_source/source/2012/mrd_085_eos_vis_20121006_0700.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9326909925681963,6593
data_source/source/2012/mrd_085_eos_vis_20121010_0900.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9334968154511594,7928
data_source/source/2012/mrd_085_eos_vis_20121018_1400.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.080124002270193,9785
data_source/source/2021/mrd_085_eos_vis_20210831_1605.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.9219157589629695,3237
data_source/source/2021/mrd_085_eos_vis_20210903_1105.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.039736838729889,4286
data_source/source/2021/mrd_085_eos_vis_20210907_1705.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,0.8874951396920281,3907
data_source/source/2021/mrd_085_eos_vis_20210917_1305.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.1072087463112437,5716
data_source/source/2021/mrd_085_eos_vis_20210919_1505.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.063817517761673,2473
data_source/source/2021/mrd_085_eos_vis_20210921_1405.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.964372797255551,155
data_source/source/2021/mrd_085_eos_vis_20210924_1105.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,2.0592714300823234,19
data_source/source/2021/mrd_085_eos_vis_20210927_1505.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.0397934406140577,4895
data_source/source/2021/mrd_085_eos_vis_20211001_0605.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.2428289976123805,5978
data_source/source/2021/mrd_085_eos_vis_20211005_1205.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.2758777172391997,4160
data_source/source/2021/mrd_085_eos_vis_20211009_1105.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.1438540480550767,6349
data_source/source/2021/mrd_085_eos_vis_20211016_1305.jpg,data_source/mrd_085_eos_vis_20151010_1205.png,1.1861365002309043,9460
