"year","mean_DOY","sd_DOY","n_valid_pixels","n_DOY0_dropped"
2011,171.486706857711,28.3868403254468,1206073,160
2012,179.568642294273,29.5353650911861,1206064,169
2013,172.936760466337,30.5451196897201,1206081,152
2014,179.084325042306,28.8599330822525,1206083,150
2015,165.898645690653,35.4264477552012,1206076,157
2016,157.937583794123,24.2238430300912,1206081,152
2017,176.856996454595,31.4443003302163,1206068,165
2018,164.994793825887,31.9621702235818,1206068,165
2020,170.671325792232,28.0885011533706,1202300,3933
2021,169.492084359938,29.7911175231626,1178237,27996
